Level,Cost,Delta,Total,
1,0,0,0,
2,300,300,300,
3,100,-200,400,
4,248,148,648,
5,303,55,951,
6,578,275,1529,
7,880,302,2409,
8,921,41,3330,
9,1315,394,4645,
10,1355,40,6000,
11,1500,145,7500,
12,2500,1000,10000,
13,2900,400,12900,
14,3100,200,16000,
15,6500,3400,22500,
16,9500,3000,32000,
17,15000,5500,47000,
18,20000,5000,67000,
19,23000,3000,90000,
20,30000,7000,120000,
21,40000,10000,160000,
22,60000,20000,220000,
23,75000,15000,295000,
24,150000,75000,445000,
25,230000,80000,675000,
26,275000,45000,950000,
27,350000,75000,1300000,
28,600000,250000,1900000,
29,1000000,400000,2900000,
30,1300000,300000,4200000,
31,1500000,200000,5700000,
32,1605000,105000,7305000,
33,1710000,105000,9015000,
34,1815000,105000,10830000,
35,1920000,105000,12750000,
36,2025000,105000,14775000,
37,2130000,105000,16905000,
38,2235000,105000,19140000,
39,2340000,105000,21480000,
40,2445000,105000,23925000,
41,5375761,2930761,29300761,
42,5766696,390935,35067457,
43,6178801,412105,41246258,
44,6613096,434295,47859354,
45,7070625,457529,54929979,
46,7552456,481831,62482435,
47,8059681,507225,70542116,
48,8593416,533735,79135532,
49,9154801,561385,88290333,
50,9745000,590199,98035333,
51,10365201,620201,108400534,
52,11016616,651415,119417150,
53,11700481,683865,131117631,
54,12418056,717575,143535687,
55,13170625,752569,156706312,
56,13959496,788871,170665808,
57,14786001,826505,185451809,
58,15651496,865495,201103305,
59,16557361,905865,217660666,
60,17505000,947639,235165666,
61,18495841,990841,253661507,
62,19531336,1035495,273192843,
63,20612961,1081625,293805804,
64,21742216,1129255,315548020,
65,22920625,1178409,338468645,
66,24149736,1229111,362618381,
67,25431121,1281385,388049502,
68,26766376,1335255,414815878,
69,28157121,1390745,442972999,
70,29605000,1447879,472577999,
71,31111681,1506681,503689680,
72,32678856,1567175,536368536,
73,34308241,1629385,570676777,
74,36001576,1693335,606678353,
75,37760625,1759049,644438978,
76,39587176,1826551,684026154,
77,41483041,1895865,725509195,
78,43450056,1967015,768959251,
79,45490081,2040025,814449332,
80,47605000,2114919,862054332,
81,85945668,38340668,948000000,
82,60750000,-25195668,1008750000,
83,74250000,13500000,1083000000,
84,87750000,13500000,1170750000,
85,101250000,13500000,1272000000,
86,114750000,13500000,1386750000,
87,128250000,13500000,1515000000,
88,141750000,13500000,1656750000,
89,155250000,13500000,1812000000,
90,168750000,13500000,1980750000,
91,182250000,13500000,2163000000,
92,195750000,13500000,2358750000,
93,209250000,13500000,2568000000,
94,222750000,13500000,2790750000,
95,236250000,13500000,3027000000,
96,240000000,3750000,3267000000,
97,300000000,60000000,3567000000,
98,420000000,120000000,3987000000,
99,540000000,120000000,4527000000,
100,660000000,120000000,5187000000,
101,780000000,120000000,5967000000,
102,900000000,120000000,6867000000,
103,1020000000,120000000,7887000000,
104,1140000000,120000000,9027000000,
105,1260000000,120000000,10287000000,
106,1380000000,120000000,11667000000,
107,1500000000,120000000,13167000000,
108,1620000000,120000000,14787000000,
109,1740000000,120000000,16527000000,
110,1860000000,120000000,18387000000,
111,1980000000,120000000,20367000000,
112,2100000000,120000000,22467000000,
113,2220000000,120000000,24687000000,
114,2340000000,120000000,27027000000,
115,2460000000,120000000,29487000000,
116,2580000000,120000000,32067000000,
117,2700000000,120000000,34767000000,
118,2820000000,120000000,37587000000,
119,2940000000,120000000,40527000000,
120,3060000000,120000000,43587000000,
121,3180000000,120000000,46767000000,
122,3300000000,120000000,50067000000,
123,3420000000,120000000,53487000000,
124,3540000000,120000000,57027000000,
125,3660000000,120000000,60687000000,
126,3780000000,120000000,64467000000,
127,3900000000,120000000,68367000000,
128,4020000000,120000000,72387000000,
129,4140000000,120000000,76527000000,
130,4260000000,120000000,80787000000,
131,40393499968,36133499968,121180499968,
132,60590249984,20196750016,181770749952,
133,90885374976,30295124992,272656124928,
134,136328062464,45442687488,408984187392,
135,204492093440,68164030976,613476280832,
